objectid,ground_truth,gpt4o_two_stage,gpt4o_one_stage,attributes,provider,kimi-k2-6-nothink_one_stage,kimi-k2-6-nothink_two_stage
35551.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
37270.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
37354.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
38281.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
38666.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
39009.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
39604.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
39718.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
39740.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
40016.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
40076.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
40662.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": true, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Not Occupied,Not Occupied
41410.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
41638.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": true, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Not Occupied,Not Occupied
42177.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
42274.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Not Occupied
42789.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
43437.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
43825.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
44262.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
44510.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
44796.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
45548.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
46748.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
46904.jpg,Not Occupied,Not Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": false}",Baidu,Not Occupied,Not Occupied
47001.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Not Occupied,Not Occupied
47082.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
47165.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
48221.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Not Occupied,Not Occupied
48298.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
49745.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
50524.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
50953.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
51035.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
51037.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Not Occupied
51882.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
52087.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
52945.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
53497.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
53922.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
54023.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Not Occupied
54217.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
55620.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
55624.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
55779.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
56380.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
57245.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
58037.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": false, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Not Occupied
58885.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
59495.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
59535.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
59590.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
59614.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
60214.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
60465.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
60529.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
61514.jpg,Not Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Not Occupied
62360.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
62597.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
63346.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
63786.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
64556.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
64753.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
64961.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
65674.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
65842.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
66521.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
66760.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Occupied,Not Occupied
67102.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
67337.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
67545.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
67750.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
68595.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
68790.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Not Occupied
69070.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": false}",Baidu,Not Occupied,Not Occupied
69504.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
69766.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": true, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Not Occupied,Not Occupied
70138.jpg,Not Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
70887.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
70932.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Not Occupied,Not Occupied
70932.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Not Occupied,Not Occupied
72332.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
72844.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Not Occupied
72941.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": true, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": true, ""emergency_markings"": false, ""major_repairs"": true, ""vehicle_presence"": true}",Baidu,Not Occupied,Not Occupied
73737.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
74742.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Not Occupied
76504.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
77117.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Not Occupied
77342.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
78806.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
78944.jpg,Not Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": true, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": true}",Baidu,Occupied,Occupied
79137.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
79283.jpg,Occupied,Not Occupied,Not Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": true, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": true, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Not Occupied,Not Occupied
79348.jpg,Occupied,Occupied,Occupied,"{""house_destruction"": false, ""structural_damage"": false, ""exterior_debris"": false, ""open_doors_windows"": false, ""site_accessible"": true, ""exterior_mud"": false, ""emergency_markings"": false, ""major_repairs"": false, ""vehicle_presence"": false}",Baidu,Occupied,Occupied
